Instanz; Metaheuristik; k; Iterationen; Kosten vorher; Kosten nachher; Verstrichene Zeit;
instances/circ4.txt;ILS;1;100;26;20;0,078;
instances/circ4.txt;ILS;1;100;26;20;0,087;
instances/circ4.txt;ILS;1;100;26;20;0,077;
instances/circ4.txt;ILS;1;100;26;20;0,077;
instances/circ4.txt;ILS;1;100;26;20;0,077;
instances/circ4.txt;ILS;1;100;26;20;0,077;
instances/circ4.txt;ILS;1;100;26;20;0,076;
instances/circ4.txt;ILS;1;100;26;20;0,084;
instances/circ4.txt;ILS;1;100;26;20;0,081;
instances/circ4.txt;ILS;1;100;26;20;0,085;
instances/circ6.txt;ILS;1;100;96;74;0,217;
instances/circ6.txt;ILS;1;100;96;74;0,207;
instances/circ6.txt;ILS;1;100;96;74;0,211;
instances/circ6.txt;ILS;1;100;96;74;0,229;
instances/circ6.txt;ILS;1;100;96;78;0,219;
instances/circ6.txt;ILS;1;100;96;78;0,212;
instances/circ6.txt;ILS;1;100;96;78;0,212;
instances/circ6.txt;ILS;1;100;96;78;0,225;
instances/circ6.txt;ILS;1;100;96;74;0,236;
instances/circ6.txt;ILS;1;100;96;74;0,211;
instances/circ8.txt;ILS;1;100;224;166;0,513;
instances/circ8.txt;ILS;1;100;224;164;0,484;
instances/circ8.txt;ILS;1;100;224;164;0,463;
instances/circ8.txt;ILS;1;100;224;172;0,459;
instances/circ8.txt;ILS;1;100;224;172;0,456;
instances/circ8.txt;ILS;1;100;224;160;0,439;
instances/circ8.txt;ILS;1;100;224;160;0,468;
instances/circ8.txt;ILS;1;100;224;168;0,474;
instances/circ8.txt;ILS;1;100;224;168;0,479;
instances/circ8.txt;ILS;1;100;224;156;0,439;
instances/circ10.txt;ILS;1;100;414;312;0,761;
instances/circ10.txt;ILS;1;100;414;336;0,773;
instances/circ10.txt;ILS;1;100;414;308;0,732;
instances/circ10.txt;ILS;1;100;414;312;0,733;
instances/circ10.txt;ILS;1;100;414;312;0,757;
instances/circ10.txt;ILS;1;100;414;314;0,725;
instances/circ10.txt;ILS;1;100;414;322;0,764;
instances/circ10.txt;ILS;1;100;414;322;0,778;
instances/circ10.txt;ILS;1;100;414;316;0,704;
instances/circ10.txt;ILS;1;100;414;316;0,755;
instances/circ12.txt;ILS;1;100;750;574;1,423;
instances/circ12.txt;ILS;1;100;750;562;1,414;
instances/circ12.txt;ILS;1;100;750;554;1,339;
instances/circ12.txt;ILS;1;100;750;576;1,314;
instances/circ12.txt;ILS;1;100;750;570;1,381;
instances/circ12.txt;ILS;1;100;750;582;1,336;
instances/circ12.txt;ILS;1;100;750;562;1,216;
instances/circ12.txt;ILS;1;100;750;584;1,287;
instances/circ12.txt;ILS;1;100;750;552;1,243;
instances/circ12.txt;ILS;1;100;750;592;1,56;
instances/circ14.txt;ILS;1;100;1.182;842;1,854;
instances/circ14.txt;ILS;1;100;1.182;850;2,067;
instances/circ14.txt;ILS;1;100;1.182;872;2,157;
instances/circ14.txt;ILS;1;100;1.182;850;1,991;
instances/circ14.txt;ILS;1;100;1.182;866;2,029;
instances/circ14.txt;ILS;1;100;1.182;872;1,877;
instances/circ14.txt;ILS;1;100;1.182;884;2,139;
instances/circ14.txt;ILS;1;100;1.182;850;2,196;
instances/circ14.txt;ILS;1;100;1.182;836;2,113;
instances/circ14.txt;ILS;1;100;1.182;878;2,134;
instances/circ16.txt;ILS;1;100;1.818;1.330;2,985;
instances/circ16.txt;ILS;1;100;1.818;1.306;2,857;
instances/circ16.txt;ILS;1;100;1.818;1.332;2,938;
instances/circ16.txt;ILS;1;100;1.818;1.284;2,62;
instances/circ16.txt;ILS;1;100;1.818;1.308;2,719;
instances/circ16.txt;ILS;1;100;1.818;1.264;2,757;
instances/circ16.txt;ILS;1;100;1.818;1.268;3,295;
instances/circ16.txt;ILS;1;100;1.818;1.264;2,777;
instances/circ16.txt;ILS;1;100;1.818;1.318;2,684;
instances/circ16.txt;ILS;1;100;1.818;1.338;2,948;
instances/circ18.txt;ILS;1;100;2.426;1.686;4,45;
instances/circ18.txt;ILS;1;100;2.426;1.654;4,075;
instances/circ18.txt;ILS;1;100;2.426;1.644;4,712;
instances/circ18.txt;ILS;1;100;2.426;1.674;4,903;
instances/circ18.txt;ILS;1;100;2.426;1.692;4,405;
instances/circ18.txt;ILS;1;100;2.426;1.668;4,188;
instances/circ18.txt;ILS;1;100;2.426;1.668;4,837;
instances/circ18.txt;ILS;1;100;2.426;1.670;4,824;
instances/circ18.txt;ILS;1;100;2.426;1.690;4,161;
instances/circ18.txt;ILS;1;100;2.426;1.644;4,241;
instances/circ20.txt;ILS;1;100;3.482;2.238;5,722;
instances/circ20.txt;ILS;1;100;3.482;2.174;6,022;
instances/circ20.txt;ILS;1;100;3.482;2.156;5,707;
instances/circ20.txt;ILS;1;100;3.482;2.262;6,323;
instances/circ20.txt;ILS;1;100;3.482;2.210;6,423;
instances/circ20.txt;ILS;1;100;3.482;2.266;5,396;
instances/circ20.txt;ILS;1;100;3.482;2.270;5,52;
instances/circ20.txt;ILS;1;100;3.482;2.156;6,093;
instances/circ20.txt;ILS;1;100;3.482;2.232;6,072;
instances/circ20.txt;ILS;1;100;3.482;2.214;6,183;
instances/circ4.txt;ILS;5;100;26;20;0,08;
instances/circ4.txt;ILS;5;100;26;20;0,085;
instances/circ4.txt;ILS;5;100;26;20;0,077;
instances/circ4.txt;ILS;5;100;26;20;0,078;
instances/circ4.txt;ILS;5;100;26;20;0,102;
instances/circ4.txt;ILS;5;100;26;20;0,087;
instances/circ4.txt;ILS;5;100;26;20;0,078;
instances/circ4.txt;ILS;5;100;26;20;0,079;
instances/circ4.txt;ILS;5;100;26;20;0,08;
instances/circ4.txt;ILS;5;100;26;20;0,094;
instances/circ6.txt;ILS;5;100;96;80;0,321;
instances/circ6.txt;ILS;5;100;96;80;0,3;
instances/circ6.txt;ILS;5;100;96;80;0,283;
instances/circ6.txt;ILS;5;100;96;80;0,288;
instances/circ6.txt;ILS;5;100;96;80;0,292;
instances/circ6.txt;ILS;5;100;96;80;0,27;
instances/circ6.txt;ILS;5;100;96;80;0,271;
instances/circ6.txt;ILS;5;100;96;80;0,289;
instances/circ6.txt;ILS;5;100;96;80;0,315;
instances/circ6.txt;ILS;5;100;96;80;0,29;
instances/circ8.txt;ILS;5;100;224;160;0,52;
instances/circ8.txt;ILS;5;100;224;150;0,517;
instances/circ8.txt;ILS;5;100;224;150;0,504;
instances/circ8.txt;ILS;5;100;224;174;0,574;
instances/circ8.txt;ILS;5;100;224;174;0,538;
instances/circ8.txt;ILS;5;100;224;174;0,536;
instances/circ8.txt;ILS;5;100;224;174;0,498;
instances/circ8.txt;ILS;5;100;224;174;0,498;
instances/circ8.txt;ILS;5;100;224;168;0,47;
instances/circ8.txt;ILS;5;100;224;168;0,49;
instances/circ10.txt;ILS;5;100;414;340;0,844;
instances/circ10.txt;ILS;5;100;414;320;0,927;
instances/circ10.txt;ILS;5;100;414;338;0,86;
instances/circ10.txt;ILS;5;100;414;334;0,829;
instances/circ10.txt;ILS;5;100;414;334;0,797;
instances/circ10.txt;ILS;5;100;414;334;0,899;
instances/circ10.txt;ILS;5;100;414;328;0,806;
instances/circ10.txt;ILS;5;100;414;332;0,886;
instances/circ10.txt;ILS;5;100;414;328;0,734;
instances/circ10.txt;ILS;5;100;414;332;0,848;
instances/circ12.txt;ILS;5;100;750;540;1,589;
instances/circ12.txt;ILS;5;100;750;534;1,838;
instances/circ12.txt;ILS;5;100;750;554;1,938;
instances/circ12.txt;ILS;5;100;750;554;1,755;
instances/circ12.txt;ILS;5;100;750;554;1,741;
instances/circ12.txt;ILS;5;100;750;546;1,607;
instances/circ12.txt;ILS;5;100;750;544;1,587;
instances/circ12.txt;ILS;5;100;750;552;1,757;
instances/circ12.txt;ILS;5;100;750;552;1,673;
instances/circ12.txt;ILS;5;100;750;548;1,554;
instances/circ14.txt;ILS;5;100;1.182;818;3,179;
instances/circ14.txt;ILS;5;100;1.182;824;2,738;
instances/circ14.txt;ILS;5;100;1.182;836;3,255;
instances/circ14.txt;ILS;5;100;1.182;842;2,614;
instances/circ14.txt;ILS;5;100;1.182;882;4,05;
instances/circ14.txt;ILS;5;100;1.182;818;3,203;
instances/circ14.txt;ILS;5;100;1.182;848;2,531;
instances/circ14.txt;ILS;5;100;1.182;842;2,761;
instances/circ14.txt;ILS;5;100;1.182;846;3,111;
instances/circ14.txt;ILS;5;100;1.182;854;2,672;
instances/circ16.txt;ILS;5;100;1.818;1.240;3,254;
instances/circ16.txt;ILS;5;100;1.818;1.272;3,478;
instances/circ16.txt;ILS;5;100;1.818;1.286;3,086;
instances/circ16.txt;ILS;5;100;1.818;1.246;3,351;
instances/circ16.txt;ILS;5;100;1.818;1.298;3,372;
instances/circ16.txt;ILS;5;100;1.818;1.278;3,591;
instances/circ16.txt;ILS;5;100;1.818;1.282;3,156;
instances/circ16.txt;ILS;5;100;1.818;1.278;3,9;
instances/circ16.txt;ILS;5;100;1.818;1.292;3,401;
instances/circ16.txt;ILS;5;100;1.818;1.296;3,594;
instances/circ18.txt;ILS;5;100;2.426;1.764;4,983;
instances/circ18.txt;ILS;5;100;2.426;1.756;5,592;
instances/circ18.txt;ILS;5;100;2.426;1.722;6,304;
instances/circ18.txt;ILS;5;100;2.426;1.740;5,007;
instances/circ18.txt;ILS;5;100;2.426;1.692;6,143;
instances/circ18.txt;ILS;5;100;2.426;1.704;5,754;
instances/circ18.txt;ILS;5;100;2.426;1.752;4,739;
instances/circ18.txt;ILS;5;100;2.426;1.780;5,136;
instances/circ18.txt;ILS;5;100;2.426;1.720;4,854;
instances/circ18.txt;ILS;5;100;2.426;1.728;5,534;
instances/circ20.txt;ILS;5;100;3.482;2.308;9,893;
instances/circ20.txt;ILS;5;100;3.482;2.388;10,07;
instances/circ20.txt;ILS;5;100;3.482;2.356;8,003;
instances/circ20.txt;ILS;5;100;3.482;2.306;9,475;
instances/circ20.txt;ILS;5;100;3.482;2.334;9,098;
instances/circ20.txt;ILS;5;100;3.482;2.314;9,619;
instances/circ20.txt;ILS;5;100;3.482;2.346;9,326;
instances/circ20.txt;ILS;5;100;3.482;2.308;8,724;
instances/circ20.txt;ILS;5;100;3.482;2.350;7,268;
instances/circ20.txt;ILS;5;100;3.482;2.314;9,749;
instances/circ4.txt;ILS;100;100;26;20;0,08;
instances/circ4.txt;ILS;100;100;26;20;0,087;
instances/circ4.txt;ILS;100;100;26;20;0,082;
instances/circ4.txt;ILS;100;100;26;20;0,081;
instances/circ4.txt;ILS;100;100;26;20;0,081;
instances/circ4.txt;ILS;100;100;26;20;0,089;
instances/circ4.txt;ILS;100;100;26;20;0,095;
instances/circ4.txt;ILS;100;100;26;20;0,083;
instances/circ4.txt;ILS;100;100;26;20;0,08;
instances/circ4.txt;ILS;100;100;26;20;0,078;
instances/circ6.txt;ILS;100;100;96;80;0,324;
instances/circ6.txt;ILS;100;100;96;80;0,297;
instances/circ6.txt;ILS;100;100;96;80;0,295;
instances/circ6.txt;ILS;100;100;96;80;0,287;
instances/circ6.txt;ILS;100;100;96;80;0,283;
instances/circ6.txt;ILS;100;100;96;80;0,285;
instances/circ6.txt;ILS;100;100;96;80;0,272;
instances/circ6.txt;ILS;100;100;96;80;0,297;
instances/circ6.txt;ILS;100;100;96;80;0,278;
instances/circ6.txt;ILS;100;100;96;80;0,295;
instances/circ8.txt;ILS;100;100;224;174;0,541;
instances/circ8.txt;ILS;100;100;224;170;0,477;
instances/circ8.txt;ILS;100;100;224;170;0,48;
instances/circ8.txt;ILS;100;100;224;166;0,488;
instances/circ8.txt;ILS;100;100;224;166;0,466;
instances/circ8.txt;ILS;100;100;224;158;0,476;
instances/circ8.txt;ILS;100;100;224;158;0,478;
instances/circ8.txt;ILS;100;100;224;166;0,495;
instances/circ8.txt;ILS;100;100;224;166;0,507;
instances/circ8.txt;ILS;100;100;224;174;0,588;
instances/circ10.txt;ILS;100;100;414;334;0,911;
instances/circ10.txt;ILS;100;100;414;324;0,911;
instances/circ10.txt;ILS;100;100;414;326;0,869;
instances/circ10.txt;ILS;100;100;414;318;0,933;
instances/circ10.txt;ILS;100;100;414;332;0,916;
instances/circ10.txt;ILS;100;100;414;328;1,017;
instances/circ10.txt;ILS;100;100;414;326;0,84;
instances/circ10.txt;ILS;100;100;414;326;0,84;
instances/circ10.txt;ILS;100;100;414;332;0,827;
instances/circ10.txt;ILS;100;100;414;332;0,924;
instances/circ12.txt;ILS;100;100;750;544;1,908;
instances/circ12.txt;ILS;100;100;750;544;1,932;
instances/circ12.txt;ILS;100;100;750;556;1,523;
instances/circ12.txt;ILS;100;100;750;552;1,676;
