Instanz; Metaheuristik; Iterationen; Steps pro Phase (l); reheats; w bei unzulaessig; t0; Kosten vorher; Kosten nachher; Verstrichene Zeit;
instances/circ12.txt;SA;300;100;5;10;1.000;750;494;91,848;
instances/circ12.txt;SA;300;100;5;10;1.000;750;488;95,24;
instances/circ12.txt;SA;300;100;5;10;1.000;750;476;94,884;
instances/circ12.txt;SA;300;100;5;10;1.000;750;496;98,538;
instances/circ12.txt;SA;300;100;5;10;1.000;750;478;99,378;
instances/circ12.txt;SA;300;100;5;10;1.000;750;478;93,916;
instances/circ12.txt;SA;300;100;5;10;1.000;750;468;93,064;
instances/circ12.txt;SA;300;100;5;10;1.000;750;478;97,292;
instances/circ12.txt;SA;300;100;5;10;1.000;750;466;93,09;
instances/circ12.txt;SA;300;100;5;10;1.000;750;508;97,269;
instances/circ14.txt;SA;300;100;5;10;1.000;1.182;900;124,58;
instances/circ14.txt;SA;300;100;5;10;1.000;1.182;722;116,874;
instances/circ14.txt;SA;300;100;5;10;1.000;1.182;750;116,496;
instances/circ14.txt;SA;300;100;5;10;1.000;1.182;916;122,002;
instances/circ14.txt;SA;300;100;5;10;1.000;1.182;756;117,341;
instances/circ14.txt;SA;300;100;5;10;1.000;1.182;938;124,005;
instances/circ14.txt;SA;300;100;5;10;1.000;1.182;742;117,704;
instances/circ14.txt;SA;300;100;5;10;1.000;1.182;736;117,973;
instances/circ14.txt;SA;300;100;5;10;1.000;1.182;740;119,645;
instances/circ14.txt;SA;300;100;5;10;1.000;1.182;736;118,101;
instances/circ16.txt;SA;300;100;5;10;1.000;1.818;1.144;145,481;
instances/circ16.txt;SA;300;100;5;10;1.000;1.818;1.106;140,24;
instances/circ16.txt;SA;300;100;5;10;1.000;1.818;1.092;142,073;
instances/circ16.txt;SA;300;100;5;10;1.000;1.818;1.082;141,241;
instances/circ16.txt;SA;300;100;5;10;1.000;1.818;1.130;146,835;
instances/circ16.txt;SA;300;100;5;10;1.000;1.818;1.380;150,729;
instances/circ16.txt;SA;300;100;5;10;1.000;1.818;1.086;144,52;
instances/circ16.txt;SA;300;100;5;10;1.000;1.818;1.116;139,503;
instances/circ16.txt;SA;300;100;5;10;1.000;1.818;1.112;141,301;
instances/circ16.txt;SA;300;100;5;10;1.000;1.818;1.060;139,572;
instances/circ18.txt;SA;300;100;5;10;1.000;2.426;1.514;165,62;
instances/circ18.txt;SA;300;100;5;10;1.000;2.426;1.538;164,319;
instances/circ18.txt;SA;300;100;5;10;1.000;2.426;1.560;177,932;
instances/circ18.txt;SA;300;100;5;10;1.000;2.426;1.526;167,91;
instances/circ18.txt;SA;300;100;5;10;1.000;2.426;1.496;166,223;
instances/circ18.txt;SA;300;100;5;10;1.000;2.426;1.542;166,083;
instances/circ18.txt;SA;300;100;5;10;1.000;2.426;1.600;166,078;
instances/circ18.txt;SA;300;100;5;10;1.000;2.426;1.562;168,727;
instances/circ18.txt;SA;300;100;5;10;1.000;2.426;1.560;166,842;
instances/circ18.txt;SA;300;100;5;10;1.000;2.426;1.542;164,063;
instances/circ20.txt;SA;300;100;5;10;1.000;3.482;2.014;196,502;
instances/circ20.txt;SA;300;100;5;10;1.000;3.482;2.146;199,306;
instances/circ20.txt;SA;300;100;5;10;1.000;3.482;2.018;196,701;
instances/circ20.txt;SA;300;100;5;10;1.000;3.482;2.050;206,183;
instances/circ20.txt;SA;300;100;5;10;1.000;3.482;2.792;212,491;
instances/circ20.txt;SA;300;100;5;10;1.000;3.482;2.050;195,067;
instances/circ20.txt;SA;300;100;5;10;1.000;3.482;2.816;211,799;
instances/circ20.txt;SA;300;100;5;10;1.000;3.482;2.178;197,609;
instances/circ20.txt;SA;300;100;5;10;1.000;3.482;2.124;195,843;
instances/circ20.txt;SA;300;100;5;10;1.000;3.482;2.098;194,991;
