Instanz; Metaheuristik; k; Iterationen; Kosten vorher; Kosten nachher; Verstrichene Zeit;
instances/circ4.txt;VNS;1;100;26;20;0,065;
instances/circ4.txt;VNS;1;100;26;20;0,069;
instances/circ4.txt;VNS;1;100;26;20;0,065;
instances/circ4.txt;VNS;1;100;26;20;0,082;
instances/circ4.txt;VNS;1;100;26;20;0,078;
instances/circ4.txt;VNS;1;100;26;20;0,083;
instances/circ4.txt;VNS;1;100;26;20;0,062;
instances/circ4.txt;VNS;1;100;26;20;0,061;
instances/circ4.txt;VNS;1;100;26;20;0,071;
instances/circ4.txt;VNS;1;100;26;20;0,063;
instances/circ6.txt;VNS;1;100;96;68;0,179;
instances/circ6.txt;VNS;1;100;96;68;0,175;
instances/circ6.txt;VNS;1;100;96;68;0,169;
instances/circ6.txt;VNS;1;100;96;68;0,187;
instances/circ6.txt;VNS;1;100;96;70;0,172;
instances/circ6.txt;VNS;1;100;96;70;0,171;
instances/circ6.txt;VNS;1;100;96;70;0,171;
instances/circ6.txt;VNS;1;100;96;70;0,186;
instances/circ6.txt;VNS;1;100;96;70;0,169;
instances/circ6.txt;VNS;1;100;96;70;0,19;
instances/circ8.txt;VNS;1;100;224;162;0,342;
instances/circ8.txt;VNS;1;100;224;162;0,346;
instances/circ8.txt;VNS;1;100;224;166;0,357;
instances/circ8.txt;VNS;1;100;224;166;0,384;
instances/circ8.txt;VNS;1;100;224;166;0,377;
instances/circ8.txt;VNS;1;100;224;160;0,357;
instances/circ8.txt;VNS;1;100;224;160;0,358;
instances/circ8.txt;VNS;1;100;224;170;0,358;
instances/circ8.txt;VNS;1;100;224;170;0,358;
instances/circ8.txt;VNS;1;100;224;170;0,349;
instances/circ10.txt;VNS;1;100;414;328;0,629;
instances/circ10.txt;VNS;1;100;414;322;0,598;
instances/circ10.txt;VNS;1;100;414;322;0,571;
instances/circ10.txt;VNS;1;100;414;310;0,56;
instances/circ10.txt;VNS;1;100;414;326;0,601;
instances/circ10.txt;VNS;1;100;414;326;0,583;
instances/circ10.txt;VNS;1;100;414;322;0,643;
instances/circ10.txt;VNS;1;100;414;320;0,622;
instances/circ10.txt;VNS;1;100;414;320;0,62;
instances/circ10.txt;VNS;1;100;414;326;0,59;
instances/circ12.txt;VNS;1;100;750;526;1,036;
instances/circ12.txt;VNS;1;100;750;522;1,006;
instances/circ12.txt;VNS;1;100;750;528;1,034;
instances/circ12.txt;VNS;1;100;750;544;0,953;
instances/circ12.txt;VNS;1;100;750;546;0,986;
instances/circ12.txt;VNS;1;100;750;560;1,119;
instances/circ12.txt;VNS;1;100;750;550;1,005;
instances/circ12.txt;VNS;1;100;750;576;1,105;
instances/circ12.txt;VNS;1;100;750;560;1,013;
instances/circ12.txt;VNS;1;100;750;544;0,931;
instances/circ14.txt;VNS;1;100;1.182;828;1,455;
instances/circ14.txt;VNS;1;100;1.182;838;1,409;
instances/circ14.txt;VNS;1;100;1.182;838;1,54;
instances/circ14.txt;VNS;1;100;1.182;812;1,643;
instances/circ14.txt;VNS;1;100;1.182;850;1,649;
instances/circ14.txt;VNS;1;100;1.182;842;1,687;
instances/circ14.txt;VNS;1;100;1.182;844;1,505;
instances/circ14.txt;VNS;1;100;1.182;850;1,392;
instances/circ14.txt;VNS;1;100;1.182;842;1,554;
instances/circ14.txt;VNS;1;100;1.182;858;1,629;
instances/circ16.txt;VNS;1;100;1.818;1.236;2,467;
instances/circ16.txt;VNS;1;100;1.818;1.274;2,023;
instances/circ16.txt;VNS;1;100;1.818;1.250;2,309;
instances/circ16.txt;VNS;1;100;1.818;1.240;2,291;
instances/circ16.txt;VNS;1;100;1.818;1.246;2,091;
instances/circ16.txt;VNS;1;100;1.818;1.260;2,162;
instances/circ16.txt;VNS;1;100;1.818;1.230;1,976;
instances/circ16.txt;VNS;1;100;1.818;1.250;2,297;
instances/circ16.txt;VNS;1;100;1.818;1.292;2,33;
instances/circ16.txt;VNS;1;100;1.818;1.244;2,276;
instances/circ18.txt;VNS;1;100;2.426;1.662;3,752;
instances/circ18.txt;VNS;1;100;2.426;1.638;3,806;
instances/circ18.txt;VNS;1;100;2.426;1.696;3,389;
instances/circ18.txt;VNS;1;100;2.426;1.690;3,697;
instances/circ18.txt;VNS;1;100;2.426;1.668;3,688;
instances/circ18.txt;VNS;1;100;2.426;1.682;3,595;
instances/circ18.txt;VNS;1;100;2.426;1.678;3,453;
instances/circ18.txt;VNS;1;100;2.426;1.690;3,68;
instances/circ18.txt;VNS;1;100;2.426;1.654;3,518;
instances/circ18.txt;VNS;1;100;2.426;1.656;3,087;
instances/circ20.txt;VNS;1;100;3.482;2.246;5,719;
instances/circ20.txt;VNS;1;100;3.482;2.246;5,158;
instances/circ20.txt;VNS;1;100;3.482;2.344;5,317;
instances/circ20.txt;VNS;1;100;3.482;2.284;6,387;
instances/circ20.txt;VNS;1;100;3.482;2.298;5,916;
instances/circ20.txt;VNS;1;100;3.482;2.272;4,82;
instances/circ20.txt;VNS;1;100;3.482;2.290;6,194;
instances/circ20.txt;VNS;1;100;3.482;2.306;5,636;
instances/circ20.txt;VNS;1;100;3.482;2.198;6,905;
instances/circ20.txt;VNS;1;100;3.482;2.210;5,459;
instances/circ4.txt;VNS;5;100;26;20;0,069;
instances/circ4.txt;VNS;5;100;26;20;0,074;
instances/circ4.txt;VNS;5;100;26;20;0,068;
instances/circ4.txt;VNS;5;100;26;20;0,068;
instances/circ4.txt;VNS;5;100;26;20;0,069;
instances/circ4.txt;VNS;5;100;26;20;0,068;
