Instanz; Metaheuristik; k; Iterationen; Kosten vorher; kosten nachher; Verstrichene Zeit;
instances/circ4.txt;VNS;1;100;26;20;0,37;
instances/circ4.txt;VNS;1;100;26;20;0,377;
instances/circ4.txt;VNS;1;100;26;20;0,396;
instances/circ4.txt;VNS;1;100;26;20;0,377;
instances/circ4.txt;VNS;1;100;26;20;0,406;
instances/circ4.txt;VNS;1;100;26;20;0,393;
instances/circ4.txt;VNS;1;100;26;20;0,393;
instances/circ4.txt;VNS;1;100;26;20;0,38;
instances/circ4.txt;VNS;1;100;26;20;0,365;
instances/circ4.txt;VNS;1;100;26;20;0,394;
instances/circ4.txt;VNS;1;100;26;20;0,395;
instances/circ4.txt;VNS;1;100;26;20;0,42;
instances/circ4.txt;VNS;1;100;26;20;0,393;
instances/circ4.txt;VNS;1;100;26;20;0,396;
instances/circ4.txt;VNS;1;100;26;20;0,397;
instances/circ4.txt;VNS;1;100;26;20;0,382;
instances/circ4.txt;VNS;1;100;26;20;0,378;
instances/circ4.txt;VNS;1;100;26;20;0,372;
instances/circ4.txt;VNS;1;100;26;20;0,371;
instances/circ4.txt;VNS;1;100;26;20;0,361;
instances/circ4.txt;VNS;1;100;26;20;0,355;
instances/circ4.txt;VNS;1;100;26;20;0,375;
instances/circ4.txt;VNS;1;100;26;20;0,39;
instances/circ4.txt;VNS;1;100;26;20;0,384;
instances/circ4.txt;VNS;1;100;26;20;0,387;
instances/circ4.txt;VNS;1;100;26;20;0,397;
instances/circ4.txt;VNS;1;100;26;20;0,398;
instances/circ4.txt;VNS;1;100;26;20;0,382;
instances/circ4.txt;VNS;1;100;26;20;0,395;
instances/circ4.txt;VNS;1;100;26;20;0,398;
instances/circ6.txt;VNS;1;100;96;68;2,379;
instances/circ6.txt;VNS;1;100;96;68;2,329;
instances/circ6.txt;VNS;1;100;96;68;2,217;
instances/circ6.txt;VNS;1;100;96;68;2,203;
instances/circ6.txt;VNS;1;100;96;68;2,303;
instances/circ6.txt;VNS;1;100;96;66;2,325;
instances/circ6.txt;VNS;1;100;96;68;2,224;
instances/circ6.txt;VNS;1;100;96;70;2,186;
instances/circ6.txt;VNS;1;100;96;68;2,316;
instances/circ6.txt;VNS;1;100;96;68;2,43;
instances/circ6.txt;VNS;1;100;96;68;2,185;
instances/circ6.txt;VNS;1;100;96;72;2,225;
instances/circ6.txt;VNS;1;100;96;64;2,054;
instances/circ6.txt;VNS;1;100;96;70;2,174;
instances/circ6.txt;VNS;1;100;96;70;2,23;
instances/circ6.txt;VNS;1;100;96;70;2,197;
instances/circ6.txt;VNS;1;100;96;70;2,304;
instances/circ6.txt;VNS;1;100;96;68;2,233;
instances/circ6.txt;VNS;1;100;96;70;2,389;
instances/circ6.txt;VNS;1;100;96;68;2,163;
instances/circ6.txt;VNS;1;100;96;70;2,21;
instances/circ6.txt;VNS;1;100;96;68;2,236;
instances/circ6.txt;VNS;1;100;96;68;2,281;
instances/circ6.txt;VNS;1;100;96;70;2,167;
instances/circ6.txt;VNS;1;100;96;70;2,428;
instances/circ6.txt;VNS;1;100;96;68;2,268;
instances/circ6.txt;VNS;1;100;96;70;2,46;
instances/circ6.txt;VNS;1;100;96;68;2,399;
instances/circ6.txt;VNS;1;100;96;70;2,211;
instances/circ6.txt;VNS;1;100;96;70;2,412;
instances/circ8.txt;VNS;1;100;224;154;8,197;
instances/circ8.txt;VNS;1;100;224;154;9,65;
instances/circ8.txt;VNS;1;100;224;158;7,494;
instances/circ8.txt;VNS;1;100;224;150;8,338;
instances/circ8.txt;VNS;1;100;224;150;8,44;
instances/circ8.txt;VNS;1;100;224;156;8,127;
instances/circ8.txt;VNS;1;100;224;152;8,755;
instances/circ8.txt;VNS;1;100;224;150;9,2;
instances/circ8.txt;VNS;1;100;224;158;9,725;
instances/circ8.txt;VNS;1;100;224;156;8,245;
instances/circ8.txt;VNS;1;100;224;162;8,584;
instances/circ8.txt;VNS;1;100;224;160;9,105;
instances/circ8.txt;VNS;1;100;224;148;9,012;
instances/circ8.txt;VNS;1;100;224;158;9,362;
instances/circ8.txt;VNS;1;100;224;150;8,25;
instances/circ8.txt;VNS;1;100;224;148;8,293;
instances/circ8.txt;VNS;1;100;224;156;9,454;
instances/circ8.txt;VNS;1;100;224;166;9,852;
instances/circ8.txt;VNS;1;100;224;152;9,258;
instances/circ8.txt;VNS;1;100;224;162;8,922;
instances/circ8.txt;VNS;1;100;224;160;8,805;
instances/circ8.txt;VNS;1;100;224;166;8,259;
instances/circ8.txt;VNS;1;100;224;160;8,509;
instances/circ8.txt;VNS;1;100;224;150;8,648;
instances/circ8.txt;VNS;1;100;224;154;9,055;
instances/circ8.txt;VNS;1;100;224;156;8,688;
instances/circ8.txt;VNS;1;100;224;162;8,07;
instances/circ8.txt;VNS;1;100;224;144;7,598;
instances/circ8.txt;VNS;1;100;224;158;8,824;
instances/circ8.txt;VNS;1;100;224;164;7,974;
instances/circ10.txt;VNS;1;100;414;316;22,846;
instances/circ10.txt;VNS;1;100;414;298;24,991;
instances/circ10.txt;VNS;1;100;414;312;24,283;
instances/circ10.txt;VNS;1;100;414;302;26,984;
instances/circ10.txt;VNS;1;100;414;302;22,648;
instances/circ10.txt;VNS;1;100;414;298;23,415;
instances/circ10.txt;VNS;1;100;414;308;24,418;
instances/circ10.txt;VNS;1;100;414;300;24,169;
instances/circ10.txt;VNS;1;100;414;300;23,495;
instances/circ10.txt;VNS;1;100;414;296;25,015;
instances/circ10.txt;VNS;1;100;414;320;25,68;
instances/circ10.txt;VNS;1;100;414;310;23,907;
instances/circ10.txt;VNS;1;100;414;290;25,713;
instances/circ10.txt;VNS;1;100;414;304;23,825;
instances/circ10.txt;VNS;1;100;414;308;20,956;
instances/circ10.txt;VNS;1;100;414;314;23,295;
instances/circ10.txt;VNS;1;100;414;294;23,421;
instances/circ10.txt;VNS;1;100;414;300;20,024;
instances/circ10.txt;VNS;1;100;414;302;23,551;
instances/circ10.txt;VNS;1;100;414;316;23,625;
instances/circ10.txt;VNS;1;100;414;310;24,073;
instances/circ10.txt;VNS;1;100;414;308;23,473;
instances/circ10.txt;VNS;1;100;414;286;22,904;
instances/circ10.txt;VNS;1;100;414;304;20,518;
instances/circ10.txt;VNS;1;100;414;306;22,878;
instances/circ10.txt;VNS;1;100;414;316;26,655;
instances/circ10.txt;VNS;1;100;414;310;25,42;
